,player,player_link,number,class,pos,height,weight,hometown,high_school,rsci,summary,season,date_game,school_name,game_location,opp_name,game_type,game_result,gs,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
68,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2020-21,2021-01-28,Kansas,,TCU,REG,W,1,38,5,14,.357,3,5,.600,2,9,.222,1,2,.500,0,3,3,4,1,0,1,3,13
69,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2020-21,2021-01-30,Kansas,@,Tennessee,REG,L,1,31,3,12,.250,2,3,.667,1,9,.111,2,4,.500,0,2,2,3,1,0,0,4,9
70,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2020-21,2021-02-02,Kansas,,Kansas State,REG,W,1,32,6,10,.600,4,5,.800,2,5,.400,1,1,1.000,0,2,2,2,0,0,0,1,15
71,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2020-21,2021-02-06,Kansas,@,West Virginia,REG,L,1,39,5,11,.455,2,5,.400,3,6,.500,0,0,,0,2,2,1,0,1,2,1,13
72,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2020-21,2021-02-08,Kansas,,Oklahoma State,REG,W,1,39,3,10,.300,1,4,.250,2,6,.333,2,2,1.000,1,1,2,2,4,0,4,3,10
73,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2020-21,2021-02-11,Kansas,,Iowa State,REG,W,1,32,7,13,.538,2,3,.667,5,10,.500,0,1,.000,0,3,3,0,1,0,1,0,19
74,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2020-21,2021-02-13,Kansas,@,Iowa State,REG,W,1,37,3,10,.300,2,4,.500,1,6,.167,2,3,.667,0,0,0,2,3,2,0,1,9
75,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2020-21,2021-02-17,Kansas,@,Kansas State,REG,W,1,34,3,9,.333,2,4,.500,1,5,.200,2,2,1.000,1,4,5,0,1,0,2,1,9
76,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2020-21,2021-02-20,Kansas,,Texas Tech,REG,W,1,29,4,11,.364,1,3,.333,3,8,.375,3,4,.750,1,1,2,2,1,0,1,4,14
77,Ochai Agbaji,/cbb/players/ochai-agbaji-1.html,30,SR,G,6-5,210,"Kansas City, MO",Oak Park HS,," 19.7 Pts, 5.1 Reb, 1.6 Ast",2020-21,2021-02-23,Kansas,@,Texas,REG,L,1,43,5,15,.333,0,4,.000,5,11,.455,2,3,.667,0,2,2,1,1,0,2,3,17
