,season,date_game,school_name,game_location,opp_name,game_type,game_result,gs,mp,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
109,2021-22,2022-02-12,Kansas,,Oklahoma,REG,W,1,38,3,12,.250,1,4,.250,2,8,.250,3,5,.600,0,6,6,3,0,0,3,1,11
110,2021-22,2022-02-14,Kansas,,Oklahoma State,REG,W,1,34,5,12,.417,4,6,.667,1,6,.167,9,10,.900,1,6,7,4,3,0,2,2,20
111,2021-22,2022-02-19,Kansas,@,West Virginia,REG,W,1,36,8,15,.533,5,9,.556,3,6,.500,4,4,1.000,0,3,3,1,0,0,2,0,23
112,2021-22,2022-02-22,Kansas,,Kansas State,REG,W,1,35,9,13,.692,5,7,.714,4,6,.667,1,1,1.000,1,6,7,5,0,0,5,2,23
113,2021-22,2022-02-26,Kansas,@,Baylor,REG,L,1,34,8,22,.364,4,8,.500,4,14,.286,7,8,.875,0,6,6,3,1,0,1,4,27
114,2021-22,2022-03-01,Kansas,@,TCU,REG,L,1,37,4,17,.235,1,9,.111,3,8,.375,2,2,1.000,1,7,8,1,1,2,3,4,13
115,2021-22,2022-03-03,Kansas,,TCU,REG,W,1,39,8,19,.421,6,10,.600,2,9,.222,4,4,1.000,0,1,1,1,1,1,4,1,22
116,2021-22,2022-03-05,Kansas,,Texas,REG,W,1,39,1,11,.091,1,6,.167,0,5,.000,6,8,.750,1,5,6,2,2,0,3,3,8
117,2021-22,2022-03-10,Kansas,N,West Virginia,CTOURN,W,1,30,7,15,.467,6,9,.667,1,6,.167,3,3,1.000,1,2,3,0,2,0,2,1,18
118,2021-22,2022-03-11,Kansas,N,TCU,CTOURN,W,1,34,9,17,.529,7,11,.636,2,6,.333,2,3,.667,0,3,3,0,0,1,1,2,22
119,2021-22,2022-03-12,Kansas,N,Texas Tech,CTOURN,W,1,38,4,10,.400,1,4,.250,3,6,.500,5,6,.833,2,5,7,2,0,1,5,2,16
120,,116 Games,,,,,,110,3768,560,1253,.447,321,608,.528,239,645,.371,211,291,.725,113,396,509,191,108,48,197,210,1570
122,2019-20,2019-11-05,Kansas,N,Duke,REG,L,0,4,0,1,.000,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0
123,2019-20,2019-11-08,Kansas,,UNC Greensboro,REG,W,0,2,0,1,.000,0,0,,0,1,.000,0,2,.000,0,0,0,0,0,0,1,0,0
124,2019-20,2019-11-15,Kansas,,Monmouth,REG,W,0,17,4,4,1.000,1,1,1.000,3,3,1.000,0,0,,0,2,2,1,2,0,0,2,11
125,2019-20,2019-11-19,Kansas,,ETSU,REG,W,0,8,0,1,.000,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,1,1,0
126,2019-20,2019-11-25,Kansas,@,Chaminade,REG,W,0,16,3,9,.333,2,5,.400,1,4,.250,0,1,.000,2,2,4,0,2,0,1,0,7
127,2019-20,2019-11-26,Kansas,N,BYU,REG,W,0,8,1,3,.333,1,1,1.000,0,2,.000,0,0,,0,0,0,0,0,0,1,1,2
128,2019-20,2019-11-27,Kansas,N,Dayton,REG,W,0,5,0,1,.000,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0
129,2019-20,2019-12-07,Kansas,,Colorado,REG,W,0,9,0,0,,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,1,0
130,2019-20,2019-12-10,Kansas,,Milwaukee,REG,W,0,15,1,5,.200,0,1,.000,1,4,.250,0,0,,0,4,4,0,1,0,0,0,3
131,2019-20,2019-12-14,Kansas,N,Kansas City,REG,W,0,21,2,4,.500,2,2,1.000,0,2,.000,0,0,,4,3,7,3,1,2,1,1,4
132,2019-20,2019-12-21,Kansas,@,Villanova,REG,L,0,16,3,5,.600,3,3,1.000,0,2,.000,0,1,.000,0,2,2,0,0,1,0,2,6
133,2019-20,2019-12-29,Kansas,@,Stanford,REG,W,0,19,3,6,.500,0,2,.000,3,4,.750,0,1,.000,2,0,2,1,0,0,0,1,9
134,2019-20,2020-01-04,Kansas,,West Virginia,REG,W,0,30,2,3,.667,2,2,1.000,0,1,.000,2,3,.667,1,4,5,1,2,0,0,2,6
135,2019-20,2020-01-08,Kansas,@,Iowa State,REG,W,0,24,3,6,.500,0,2,.000,3,4,.750,0,0,,0,5,5,2,0,0,0,1,9
136,2019-20,2020-01-11,Kansas,,Baylor,REG,L,0,22,0,2,.000,0,2,.000,0,0,,4,4,1.000,1,1,2,0,0,0,0,2,4
137,2019-20,2020-01-14,Kansas,@,Oklahoma,REG,W,0,26,0,3,.000,0,1,.000,0,2,.000,2,2,1.000,1,5,6,1,1,1,0,1,2
